country,year,iso_code,population,gdp,co2,co2_per_capita,gdp_per_capita,pm25,life_exp
Niger,2019,NER,22947765.0,21237507069.0,2.513,0.11,925.4716992700596,50.15037,60.031
Nigeria,2019,NGA,209485637.0,1079426893318.0,127.859,0.61,5152.748936758848,55.64206,53.0086
North Korea,2019,PRK,26037633.0,42499100315.0,69.512,2.67,1632.2182709541992,41.46032,72.9282
North Macedonia,2019,MKD,1897643.0,28433274864.0,7.625,4.018,14983.468894834275,25.16804,76.8346
Norway,2019,NOR,5347733.0,455304831150.0,42.866,8.016,85139.78374574796,6.30111,82.9553
Oman,2019,OMN,4591248.0,170692383655.0,72.035,15.69,37177.77468239572,34.88286,79.9456
Pakistan,2019,PAK,230800908.0,1172330212219.0,190.826,0.827,5079.40034715548,50.13067,66.7288
Palestine,2019,PSE,4957773.0,24410373377.0,3.265,0.658,4923.656927616492,30.8191,75.8114
Panama,2019,PAN,4234698.0,89670319909.0,12.449,2.94,21175.139268254785,11.77915,78.5145
Paraguay,2019,PRY,6515059.0,63004153609.0,8.268,1.269,9670.542294244764,12.30993,73.6681
Peru,2019,PER,32449302.0,329252610797.0,58.668,1.808,10146.677755872839,29.06587,76.2749
Philippines,2019,PHL,110804685.0,986114678778.0,142.601,1.287,8899.57567027062,22.45141,69.6804
Poland,2019,POL,38225884.0,1121231497071.0,317.444,8.304,29331.734933088796,18.82808,77.9213
Portugal,2019,PRT,10343218.0,286505655767.0,47.583,4.6,27699.856637170367,7.34244,81.9587
Qatar,2019,QAT,2797927.0,373817411294.0,101.43,36.252,133605.13383444241,59.03746,82.9454
Romania,2019,ROU,19501542.0,456564507688.0,76.69,3.933,23411.713170579023,13.30043,75.3288
Russia,2019,RUS,146533063.0,3705035583500.0,1704.459,11.632,25284.63889067821,8.88468,73.0658
Rwanda,2019,RWA,12776102.0,24883378782.0,1.413,0.111,1947.6502913016818,35.65776,66.6905
Saint Lucia,2019,LCA,177675.0,1824037649.0,0.502,2.825,10266.14689179682,8.97661,72.249
Sao Tome and Principe,2019,STP,213405.0,784993764.0,0.147,0.687,3678.4225486750543,33.74991,68.0435
Saudi Arabia,2019,SAU,30472809.0,1687180073621.0,708.335,23.245,55366.739364953195,57.15638,78.3132
Senegal,2019,SEN,16352926.0,46131678369.0,12.711,0.777,2821.0045327056455,38.21284,67.668
Serbia,2019,SRB,6966155.0,107209329080.0,44.445,6.38,15390.029231333498,21.73909,76.0585
Seychelles,2019,SYC,117662.0,3137071789.0,0.59,5.014,26661.724167530723,16.95663,72.1226
Sierra Leone,2019,SLE,7731994.0,11031662186.0,1.118,0.145,1426.7551405239062,39.4217,59.5935
Singapore,2019,SGP,5669562.0,425816263950.0,49.0,8.643,75105.67199900099,13.33302,83.6622
Slovakia,2019,SVK,5450627.0,148579167627.0,33.853,6.211,27259.096545590077,15.89146,77.6863
